1,6.38,6.33,6.46,-5.04,-5.45,-4.95,-0.22,-0.88,-0.02,3.81,3.14,4.14,183.97,180.18,189.18,37.05,29.65,39.89,4.97,4.78,6.03,430.1,430,430.3,310349,305289,314785
1,6.39,6.37,6.4,-4.75,-4.81,-4.73,0,-0.23,0.25,4.24,4.23,4.25,179.95,177.03,182.8,41.68,41.34,41.93,4.95,4.85,5.67,430,427.4,431.5,303040,233474,336289
1,6.35,6.35,6.36,-4.63,-4.64,-4.5,0.9,0.61,0.99,4.28,4.27,4.36,169.7,167.64,172.51,42.44,42.19,43.37,4.95,4.91,5.9,430,419.8,431,319488,86997,334256
1,6.51,6.42,6.53,-5.2,-5.26,-5.09,1.4,0.96,1.65,3.65,3.42,3.78,165.6,162.6,169.56,34.6,31.82,35.64,4.72,4.72,5.84,428,422.6,433.6,141405,124152,302002
1,6.57,6.51,6.58,-5.24,-5.35,-5.23,1.05,-0.56,1.55,3.52,3.51,3.95,172.81,163.5,186.13,32.83,32.73,36.94,4.85,4.64,5.73,431.5,431.3,432.6,274279,261512,315370
1,6.54,6.52,6.59,-5.2,-5.22,-5.14,-0.49,-0.63,-0.27,4,3.86,4,185.12,183.01,186.94,37.4,36.37,37.77,4.91,4.86,6,432.2,428,433.2,304266,246956,308752
1,6.52,6.51,6.52,-5.25,-5.31,-5.23,-0.79,-0.94,-0.72,3.78,3.7,3.78,188.81,187.75,190.18,35.42,34.57,35.44,5.05,4.96,5.06,423.7,422.9,426.3,170056,134700,221821
1,6.49,6.45,6.5,-5.23,-5.24,-5.19,-0.74,-0.86,-0.63,3.76,3.69,3.82,188.12,186.83,189.46,35.39,35.02,36.02,5.08,4.96,4.15,421.2,419.2,424.8,191936,176433,257854
1,6.47,6.4,6.5,-5.31,-5.37,-5.28,-0.22,-0.48,-0.17,3.59,3.57,3.75,183.15,181.8,185.24,33.87,33.76,35.27,5.03,4.94,5.19,436.7,436.5,438.3,303971,291344,310842
1,6.48,6.42,6.53,-5.21,-5.24,-5.06,-0.75,-0.8,-0.57,3.81,3.79,3.88,187.82,186.25,188.71,36.03,35.54,37.2,5.1,4.85,5.13,437.6,437.1,437.6,301712,297577,306694
